Date,Symbol,Open,High,Low,Close,Volume,AdjustedClose,Returns,RollingAverage,RollingStd,ZscoreStatic,ZscoreRolling,PositionsStatic,PNLstatic,CumPNLstatic,RealPNLstatic,CumRealPNLstatic,PositionsStaticHold,PNLstaticHold,CumPNLstaticHold,RealPNLstaticHold,CumRealPNLstaticHold,PositionsRoll,PNLroll,CumPNLroll,RealPNLroll,CumRealPNLroll,PositionsRollHold,PNLrollHold,CumPNLrollHold,RealPNLrollHold,CumRealPNLrollHold
8/19/2004 12:00:00 AM,GOOG,100,104.06,95.96,100.34,22351900,100.34,,,,-2.6150250014906,,0,,,,,0,,,,,,,,,,,,,,
8/20/2004 12:00:00 AM,GOOG,101.01,109.08,100.5,108.31,11428600,108.31,0.0794299382100857,,,-2.5584579220962,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8/23/2004 12:00:00 AM,GOOG,110.75,113.48,109.05,109.4,9137200,109.4,0.0100637060289909,,,-2.55072164649521,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8/24/2004 12:00:00 AM,GOOG,111.24,111.6,103.57,104.87,7631300,104.87,-0.0414076782449726,,,-2.58287332399291,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8/25/2004 12:00:00 AM,GOOG,104.96,108,103.88,106,4598900,106,0.0107752455420997,,,-2.57485314836986,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8/26/2004 12:00:00 AM,GOOG,104.95,107.95,104.66,107.91,3551000,107.91,0.0180188679245283,,,-2.56129692231675,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8/27/2004 12:00:00 AM,GOOG,108.1,108.62,105.69,106.15,3109000,106.15,-0.0163098878695208,,,-2.57378852328715,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8/30/2004 12:00:00 AM,GOOG,105.28,105.49,102.01,102.01,2601000,102.01,-0.0390014130946773,,,-2.60317217556982,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8/31/2004 12:00:00 AM,GOOG,102.3,103.71,102.16,102.37,2461400,102.37,0.00352906577786491,,,-2.60061707537132,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9/1/2004 12:00:00 AM,GOOG,102.7,102.97,99.67,100.25,4573700,100.25,-0.0207091921461366,,,-2.61566377654023,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9/2/2004 12:00:00 AM,GOOG,99.19,102.37,98.94,101.51,7566900,101.51,0.012568578553616,,,-2.6067209258455,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9/3/2004 12:00:00 AM,GOOG,100.95,101.74,99.32,100.01,2578800,100.01,-0.0147768692739632,,,-2.61736717667255,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9/7/2004 12:00:00 AM,GOOG,101.01,102,99.61,101.58,2926700,101.58,0.0156984301569842,,,-2.60622410080691,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9/8/2004 12:00:00 AM,GOOG,100.74,103.03,100.5,102.3,2495300,102.3,0.00708800945067926,,,-2.60111390040992,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9/9/2004 12:00:00 AM,GOOG,102.53,102.71,101,102.31,2032900,102.31,9.77517106549865E-05,,,-2.60104292540441,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
